Galaxy type,redshift,u-g ,g-r,r-i,i-z
Elliptical,0,2.37,0.09,-0.04,0.63
Elliptical,0.05,2.34,0.22,0,0.63
Elliptical,0.1,2.37,0.32,0.05,0.62
Elliptical,0.15,2.4,0.46,0.08,0.62
Elliptical,0.2,2.5,0.64,0.11,0.62
Elliptical,0.25,2.64,0.8,0.15,0.67
Elliptical,0.3,2.85,0.91,0.21,0.66
Elliptical,0.35,3.11,1.03,0.26,0.69
Elliptical,0.4,3.3,1.1,0.32,0.74
Elliptical,0.45,3.49,1.04,0.47,0.78
Elliptical,0.5,3.44,1,0.62,0.78
Elliptical,0.55,3.27,0.97,0.78,0.81
Elliptical,0.6,3.06,0.97,0.89,0.86
Elliptical,0.65,2.86,1.01,0.98,0.89
Elliptical,0.7,2.69,1.06,1.07,0.95
Elliptical,0.75,2.54,1.16,1.08,1.03
Elliptical,0.8,2.45,1.3,0.99,1.16
Elliptical,0.85,2.37,1.42,0.9,1.31
Elliptical,0.9,2.24,1.52,0.83,1.44
Elliptical,0.95,2.27,1.51,0.79,1.53
Elliptical,1,2.2,1.51,0.78,1.63
Elliptical,1.05,2.12,1.52,0.77,1.69
Elliptical,1.1,2.16,1.34,0.77,1.79
Elliptical,1.15,2.15,1.23,0.88,1.79
Elliptical,1.2,2.18,1.05,1.04,1.72
Elliptical,1.25,2.17,0.88,1.14,1.68
Elliptical,1.3,2.15,0.77,1.21,1.71
Elliptical,1.35,2.13,0.55,1.29,1.65
Elliptical,1.4,2.04,0.43,1.4,1.65
Elliptical,1.45,2.03,0.34,1.39,1.58
Elliptical,1.5,1.9,0.28,1.36,1.6
Irregular,0,1.2,-0.52,-0.19,0.5
Irregular,0.05,1.33,-0.52,-0.19,0.52
Irregular,0.1,1.34,-0.46,-0.23,0.52
Irregular,0.15,1.27,-0.33,-0.28,0.5
Irregular,0.2,1.22,-0.25,-0.3,0.49
Irregular,0.25,1.16,-0.18,-0.32,0.51
Irregular,0.3,1.09,-0.11,-0.33,0.48
Irregular,0.35,1.02,-0.05,-0.33,0.48
Irregular,0.4,0.92,-0.05,-0.23,0.43
Irregular,0.45,0.86,-0.04,-0.14,0.38
Irregular,0.5,0.78,0.01,-0.11,0.34
Irregular,0.55,0.77,-0.05,-0.05,0.32
Irregular,0.6,0.75,-0.11,0.01,0.33
Irregular,0.65,0.72,-0.16,0.07,0.34
Irregular,0.7,0.69,-0.2,0.07,0.45
Irregular,0.75,0.72,-0.31,0.1,0.48
Irregular,0.8,0.72,-0.37,0.14,0.51
Irregular,0.85,0.7,-0.43,0.19,0.54
Irregular,0.9,0.73,-0.49,0.21,0.55
Irregular,0.95,0.74,-0.51,0.18,0.58
Irregular,1,0.78,-0.58,0.15,0.65
Irregular,1.05,0.75,-0.52,0.09,0.7
Irregular,1.1,0.84,-0.62,0.04,0.76
Irregular,1.15,0.83,-0.57,-0.02,0.81
Irregular,1.2,0.87,-0.59,-0.08,0.82
Irregular,1.25,0.9,-0.62,-0.15,0.86
Irregular,1.3,0.86,-0.54,-0.22,0.9
Irregular,1.35,0.91,-0.62,-0.23,0.87
Irregular,1.4,0.85,-0.57,-0.23,0.85
Irregular,1.45,0.86,-0.56,-0.26,0.81
Irregular,1.5,0.83,-0.57,-0.3,0.79
Sbc,0,1.71,-0.21,-0.05,0.63
Sbc,0.05,1.86,-0.16,-0.06,0.65
Sbc,0.1,1.96,-0.1,-0.06,0.65
Sbc,0.15,2.02,-0.01,-0.07,0.64
Sbc,0.2,2.01,0.1,-0.08,0.63
Sbc,0.25,1.95,0.21,-0.06,0.65
Sbc,0.3,1.87,0.32,-0.04,0.61
Sbc,0.35,1.76,0.43,-0.02,0.61
Sbc,0.4,1.63,0.54,0.01,0.61
Sbc,0.45,1.53,0.6,0.07,0.61
Sbc,0.5,1.45,0.63,0.14,0.6
Sbc,0.55,1.38,0.61,0.23,0.61
Sbc,0.6,1.31,0.6,0.31,0.62
Sbc,0.65,1.24,0.56,0.4,0.64
Sbc,0.7,1.18,0.51,0.49,0.66
Sbc,0.75,1.18,0.39,0.58,0.68
Sbc,0.8,1.16,0.32,0.64,0.74
Sbc,0.85,1.12,0.26,0.68,0.81
Sbc,0.9,1.12,0.18,0.68,0.88
Sbc,0.95,1.13,0.09,0.7,0.93
Sbc,1,1.13,0,0.69,1.01
Sbc,1.05,1.07,0.01,0.66,1.06
Sbc,1.1,1.11,-0.12,0.61,1.16
Sbc,1.15,1.04,-0.1,0.55,1.23
Sbc,1.2,1.03,-0.1,0.48,1.28
Sbc,1.25,1.04,-0.16,0.42,1.33
Sbc,1.3,0.98,-0.14,0.35,1.39
Sbc,1.35,0.97,-0.19,0.3,1.39
Sbc,1.4,0.9,-0.18,0.26,1.42
Sbc,1.45,0.89,-0.22,0.19,1.4
Sbc,1.5,0.81,-0.19,0.13,1.41
Scd,0,1.54,-0.33,-0.2,0.43
Scd,0.05,1.63,-0.28,-0.19,0.44
Scd,0.1,1.63,-0.21,-0.18,0.45
Scd,0.15,1.6,-0.11,-0.18,0.45
Scd,0.2,1.57,-0.01,-0.17,0.45
Scd,0.25,1.53,0.08,-0.16,0.49
Scd,0.3,1.48,0.16,-0.14,0.47
Scd,0.35,1.41,0.24,-0.13,0.49
Scd,0.4,1.3,0.29,-0.07,0.49
Scd,0.45,1.22,0.31,0,0.5
Scd,0.5,1.13,0.32,0.07,0.49
Scd,0.55,1.08,0.27,0.15,0.49
Scd,0.6,1.01,0.22,0.23,0.51
Scd,0.65,0.95,0.17,0.3,0.53
Scd,0.7,0.88,0.13,0.35,0.58
Scd,0.75,0.86,0.02,0.4,0.61
Scd,0.8,0.83,-0.03,0.43,0.67
Scd,0.85,0.79,-0.07,0.45,0.72
Scd,0.9,0.79,-0.12,0.42,0.78
Scd,0.95,0.8,-0.17,0.4,0.83
Scd,1,0.82,-0.26,0.36,0.91
Scd,1.05,0.78,-0.24,0.31,0.95
Scd,1.1,0.84,-0.37,0.27,1.03
Scd,1.15,0.79,-0.35,0.22,1.08
Scd,1.2,0.81,-0.37,0.18,1.1
Scd,1.25,0.85,-0.45,0.14,1.12
Scd,1.3,0.81,-0.45,0.1,1.15
Scd,1.35,0.82,-0.5,0.09,1.11
Scd,1.4,0.77,-0.5,0.08,1.1
Scd,1.45,0.77,-0.54,0.04,1.06
Scd,1.5,0.72,-0.5,-0.01,1.04
